动画名称,动画url,动画总集数,动画放映时间,动画评分,动画放映类型,动画播放次数,动画原作,动画剧情类型,动画制作公司,动画监督
放学后的Pleiades,http://donghua.dmzj.com/donghua_info/2078.html,7,2011-02-01,4.3,TV,50863,暂无,奇幻,GAINAX,佐伯昭志
拳王创世纪1 世界大会篇,http://donghua.dmzj.com/donghua_info/2107.html,0,2011-04-10,4.3,TV,0,車田正美,竞技,東映アニメーション,暂无
圣母在上第二部,http://donghua.dmzj.com/donghua_info/540.html,13,2004-07-04,4.7,TV,0,今野緒雪,百合,スタジオディーン,ユキヒロマツシタ
哈姆太郎,http://donghua.dmzj.com/donghua_info/1277.html,49,2000-07-07,4.0,TV,0,河井リツ子,搞笑,トムス・エンタテインメント、東京ムービー事業本部,鍋島修
奇异的破晓,http://donghua.dmzj.com/donghua_info/1279.html,13,2000-07-11,3.7,TV,0,佐藤順一,奇幻,ハルフィルムメーカー,佐藤順一
老师的时间,http://donghua.dmzj.com/donghua_info/974.html,13,2004-04-04,4.8,TV,0,ももせたまみ,搞笑,J.C.STAFF,岩崎良明
圣斗士星矢 冥界篇后章,http://donghua.dmzj.com/donghua_info/462.html,6,2006-12-15,5.0,OVA,0,車田正美,热血,東映アニメーション,勝間田具治
加油！鲁鲁洛洛,http://donghua.dmzj.com/donghua_info/3287.html,1,2013-01-17,2.2,TV,304,あいはらひろゆき,搞笑,ファンワークス,児玉彻郎
高达0080 口袋中的战争,http://donghua.dmzj.com/donghua_info/408.html,6,1989-12-01,5.0,OVA,0,矢立肇,机战,サンライズ,高山文彦
魔力女管家,http://donghua.dmzj.com/donghua_info/443.html,12,2001-10-05,4.7,TV,523511,中山文十郎+ぢたま,爱情,GAINAX、シャフト ,山賀博之 
我是狼,http://donghua.dmzj.com/donghua_info/4594.html,3,2014-05-31,3.2,剧场版,4201,暂无,搞笑,暂无,于胜军
星界之战旗2,http://donghua.dmzj.com/donghua_info/367.html,10,2001-07-11,5.0,TV,0,森岡浩之,战争,SUNRISE,長岡康史
曙光少女,http://donghua.dmzj.com/donghua_info/946.html,24,2005-10-06,5.0,TV,0,GONZO,科幻,GONZO,平池芳正
圣斗士星矢 冥界篇前章,http://donghua.dmzj.com/donghua_info/461.html,6,2005-12-17,5.0,OVA,0,車田正美,热血,東映アニメーション,勝間田具治
天保异闻妖奇士,http://donghua.dmzj.com/donghua_info/830.html,25,2006-10-07,3.6,TV,0,會川昇、ボンズ,奇幻,ボンズ,錦織博
星舰驾驶员,http://donghua.dmzj.com/donghua_info/958.html,13,2005-01-05,4.7,TV,0,水野良,战争,J.C.STAFF,渡部高志
熊出没之冬日乐翻天,http://donghua.dmzj.com/donghua_info/6144.html,52,2015-07-16,2.6,TV,0,暂无,搞笑,华强数字动漫,暂无
西游后传,http://donghua.dmzj.com/donghua_info/6596.html,1,2015,4.8,剧场版,22655,暂无,奇幻,青青树动画,暂无
狂野禁区,http://donghua.dmzj.com/donghua_info/1270.html,27,2001-04-06,4.7,TV,45743,KCEJ,机战,サンライズ,渡邊哲哉
阿莱蒂公主,http://donghua.dmzj.com/donghua_info/2384.html,1,2001-01-01,4.5,剧场版,6086,ダイアナ・コールス,奇幻,STUDIO 4℃,片渕須直
愿你在此,http://donghua.dmzj.com/donghua_info/2387.html,4,2001-01-01,4.3,OVA,9861,GONZO,爱情,GONZO,水島精二
超人正义联盟第一季,http://donghua.dmzj.com/donghua_info/2525.html,26,2001-11-17,4.8,TV,90501,DC comics,冒险,暂无,暂无
海岸物语,http://donghua.dmzj.com/donghua_info/2236.html,4,2001-11-30,4.9,OVA,23005,暂无,爱情,暂无,神保遊作
网球王子,http://donghua.dmzj.com/donghua_info/581.html,178,2001-10-10,4.7,TV,1452085,許斐剛,竞技,トランス・アーツ,浜名孝行
贝卡斯妮,http://donghua.dmzj.com/donghua_info/3203.html,1,2001-01-01,3,剧场版,28,暂无,冒险,Ellipse AnimationHome Made MoviesImage Film,Philippe Vidal
麦兜故事,http://donghua.dmzj.com/donghua_info/4333.html,1,2001-12-15,5.0,剧场版,2305,暂无,搞笑,暂无,袁建滔
碰碰妙女巫,http://donghua.dmzj.com/donghua_info/4159.html,13,2001-01-01,3,TV,397,暂无,搞笑,暂无,Alan Simpson
不可思议的游戏永光传,http://donghua.dmzj.com/donghua_info/4659.html,4,2001-12-21,5.0,OVA,1158,渡瀬悠宇,奇幻,Studio Pierrot,亀垣一
怪物公司,http://donghua.dmzj.com/donghua_info/1959.html,3,2001-11-02,4.0,剧场版,5762,暂无,搞笑,皮克斯动画工作室,暂无
毁灭者战记OVA胎动篇,http://donghua.dmzj.com/donghua_info/4763.html,2,2001-10-14,4.2,OVA,4516,GONZO,后宫,GONZO,もりたけし
毁灭者战记第二季,http://donghua.dmzj.com/donghua_info/4764.html,13,2001-10-05,4.2,TV,0,GONZO,后宫,GONZO,もりたけし
彗星公主,http://donghua.dmzj.com/donghua_info/4768.html,43,2001-04-01,5.0,TV,0,暂无,搞笑,日本アニメーション,神戸守
趣怪守护仙,http://donghua.dmzj.com/donghua_info/4921.html,52,2001-03-30,3,TV,0,暂无,冒险,nick,Butch Hartman
乐比悠悠2,http://donghua.dmzj.com/donghua_info/4876.html,52,2001-01-01,5.0,TV,454,暂无,亲子,暂无,暂无
烤焦面包,http://donghua.dmzj.com/donghua_info/4888.html,11,2001-11-05,5.0,OVA,829,暂无,搞笑,Studio Pierrot,小原秀一
大都会,http://donghua.dmzj.com/donghua_info/5571.html,1,2001-05-26,4.7,剧场版,14211,暂无,科幻,暂无,林太郎
动物频道,http://donghua.dmzj.com/donghua_info/5619.html,1,2001-01-01,3,TV,13,暂无,搞笑,暂无,暂无
亲子碰碰乐,http://donghua.dmzj.com/donghua_info/5629.html,13,2001-01-01,3,TV,0,暂无,亲子,暂无,暂无
香港大营救,http://donghua.dmzj.com/donghua_info/5630.html,1,2001-01-01,3,剧场版,233,暂无,冒险,暂无,暂无
神雕侠侣动画版,http://donghua.dmzj.com/donghua_info/6121.html,78,2001-10-11,4.7,TV,0,金庸,爱情,暂无,暂无
泰山卡通系列国语版,http://donghua.dmzj.com/donghua_info/6181.html,39,2001,3.7,TV,0,暂无,奇幻,暂无,暂无
神雕侠侣动画粤语版,http://donghua.dmzj.com/donghua_info/6122.html,78,2001-10-11,4.4,TV,0,金庸,武侠,暂无,暂无
老夫子2001,http://donghua.dmzj.com/donghua_info/5724.html,2,2001-04-05,2.3,剧场版,2822,暂无,搞笑,暂无,邱礼涛
泰山卡通系列原声版,http://donghua.dmzj.com/donghua_info/6182.html,39,2001,3,TV,0,暂无,奇幻,暂无,暂无
犬夜叉剧场版国语,http://donghua.dmzj.com/donghua_info/6158.html,4,2001-12-15,3,剧场版,34609,高橋留美子,爱情,サンライズ,篠原俊哉
独角兽传说,http://donghua.dmzj.com/donghua_info/5647.html,1,2001-01-01,3,剧场版,97,暂无,冒险,暂无,暂无
未来蝙蝠侠：小丑归来,http://donghua.dmzj.com/donghua_info/6216.html,2,2001-03-26,3,剧场版,12624,DC Comics,科幻,华纳兄弟,Curt Geda
杰克武士,http://donghua.dmzj.com/donghua_info/5991.html,13,2001-08-10,4.1,TV,5427,暂无,冒险,Cartoon Network Studios,Genndy Tartakovsky
反斗家族,http://donghua.dmzj.com/donghua_info/6630.html,52,2001-03-30,3,TV,8601,暂无,搞笑,加拿大Nelvana,Butch Hartman
小小雪精灵,http://donghua.dmzj.com/donghua_info/1255.html,26,2001-09-03,4.9,TV,10525,蒼はるか,奇幻,J.C.STAFF,木村真一郎
奥斯卡最佳动画长片,http://donghua.dmzj.com/donghua_info/3520.html,13,2001-02-25,3.4,剧场版,23277,暂无,其他,暂无,暂无
坎特维尔城堡的幽灵2001,http://donghua.dmzj.com/donghua_info/6912.html,1,2001,3,剧场版,316,奥斯卡·王尔德,奇幻,Burbank Animation Studios,暂无
恋爱占卜师国语版,http://donghua.dmzj.com/donghua_info/7037.html,51,2001-03-05,3.0,TV,0,新井清子,奇幻,テレビ東京、NAS ,三沢伸
巴比伦二世2001,http://donghua.dmzj.com/donghua_info/7057.html,13,2001-10-05,2.0,TV,7184,横山光辉,科幻,MediaNet / 圆谷映像 / VEGA entertainment,牛草健
宇宙战士零,http://donghua.dmzj.com/donghua_info/7105.html,13,2001-07-06,5.0,TV,6920,松本零士,科幻,暂无,横田和善
小姐与流浪汉2：狗儿逃家记,http://donghua.dmzj.com/donghua_info/7725.html,1,2001-02-27,5.0,剧场版,18980,暂无,搞笑,暂无,Darrell Rooney / Jeannine Roussel
杰克武士第一季国语版,http://donghua.dmzj.com/donghua_info/8195.html,13,2001-08-10,1.0,TV,0,暂无,冒险,Cartoon Network Studios,暂无
时间大使莫莫,http://donghua.dmzj.com/donghua_info/7272.html,1,2001-12-21,3,剧场版,6043,暂无,治愈,暂无,Enzo D
杰克武士第二季国语版,http://donghua.dmzj.com/donghua_info/8196.html,13,2001-08-10,5.0,TV,0,暂无,冒险,Cartoon Network Studios,暂无
赛贝索侦探队,http://donghua.dmzj.com/donghua_info/8391.html,1,2001-08-18,1.0,剧场版,250,暂无,冒险,暂无,山崎哲
辛普森一家第十三季,http://donghua.dmzj.com/donghua_info/8584.html,22,2001-11-06,3.0,TV,41190,Fox,搞笑,Fox,暂无
犬夜叉剧场版,http://donghua.dmzj.com/donghua_info/489.html,7,2001-12-15,4.7,剧场版,55739,高橋留美子,爱情,サンライズ,篠原俊哉 
破坏魔定光,http://donghua.dmzj.com/donghua_info/8624.html,10,2001-01-17,2.5,TV,0,中平正彦,冒险,スタジオディーン,大畑晃一
新世纪魔法少女,http://donghua.dmzj.com/donghua_info/9091.html,2,2001-03-07,3.0,OVA,9653,暂无,搞笑,暂无,渡边慎一
外星侵略者吉姆,http://donghua.dmzj.com/donghua_info/9366.html,37,2001-03-30,3.6,TV,9342,暂无,搞笑,暂无,Steve Ressel / Jordan Reichek
